semana,chuva_mm,umidade_pct,temp_c,casos_dengue
1,46.7,84.8,29.0,13510
2,125.2,76.9,33.6,33033
3,91.8,69.7,31.9,39305
4,147.6,76.4,30.8,46588
5,109.1,76.8,27.2,54907
6,99.0,87.7,27.2,56823
7,88.1,85.2,26.5,60975
8,129.3,92.0,32.9,68533
9,135.8,80.7,30.8,75134
10,86.2,71.2,31.7,69290
11,123.4,87.3,26.2,86237
12,102.0,88.5,33.8,87625
13,133.4,83.2,32.7,89292
14,98.1,88.8,27.7,87249
15,136.8,81.3,27.5,84140
16,114.0,82.1,27.5,67246
17,155.3,79.5,28.4,73132
18,95.3,68.7,30.2,63197
19,110.6,70.9,29.5,66767
20,93.5,68.8,28.3,56863
21,154.4,85.2,30.9,49312
22,150.8,76.5,27.1,38962
23,104.3,81.7,28.3,30490
24,48.0,92.5,28.9,21912
25,55.9,74.7,29.6,14939
26,42.8,79.1,32.3,13187
27,41.5,88.4,27.6,10622
28,27.1,74.2,30.1,9433
29,19.7,70.1,30.7,8227
30,59.9,75.8,26.4,7694
31,60.0,72.4,30.9,7106
32,46.7,93.1,27.4,6659
33,32.0,89.8,26.5,6250
34,32.5,85.1,33.6,6714
35,51.3,91.5,33.7,6492
36,59.9,89.7,32.5,6391
37,59.4,73.0,28.4,6490
38,54.0,92.1,26.8,6955
39,47.1,82.6,31.5,6904
40,19.2,89.8,29.5,7252
41,23.1,92.2,27.0,6918
42,59.9,76.6,30.0,7296
43,45.3,71.0,26.3,6719
44,15.5,74.2,33.3,6655
45,20.1,79.5,28.1,6701
46,48.2,90.1,31.3,7165
47,15.3,91.2,28.5,6194
48,23.0,68.2,30.2,7376
49,42.4,81.8,30.4,7456
50,49.6,79.3,27.5,7088
51,47.6,74.0,33.8,7179
52,26.2,71.2,32.2,5412
53,50.6,77.1,33.5,5786
54,26.9,93.5,33.2,7734
55,31.3,76.7,30.8,8328
56,52.3,82.0,33.4,8995
57,47.5,87.0,26.7,9821
58,57.5,77.8,27.6,10607
59,47.9,94.2,26.4,12010
60,43.4,94.0,28.6,10939
61,19.7,74.8,29.1,14656
62,33.4,81.4,28.2,15493
63,28.3,76.1,32.6,16986
64,27.2,75.7,28.9,18334
65,63.7,69.0,28.2,20147
66,34.7,84.5,30.3,17330
67,59.6,81.6,27.1,21260
68,46.6,69.4,32.4,22453
69,54.7,75.5,26.6,19987
70,40.1,92.5,33.9,20583
71,43.8,74.5,32.2,22875
72,39.6,71.9,27.6,20965
73,24.8,81.2,26.0,20100
74,51.1,94.6,32.5,19120
75,29.0,74.5,31.7,14960
76,16.2,86.1,31.8,15880
77,47.3,88.6,32.2,14915
78,23.9,74.4,26.6,13334
79,62.0,87.7,28.9,12920
80,62.7,77.9,26.9,9353
81,60.7,85.1,32.9,144
